"","playerID","LOS","recent_year","G","AB","R","H","X2B","X3B","HR","RBI","SB","CS","SO","BB","IBB","HBP","SH","SF","GIDP","inducted"
"1962","fournja01",15,1927,102,347.2,54.8,108.733333333333,16.8,7.53333333333333,9.06666666666667,57.2666666666667,9.66666666666667,6.73333333333333,28.6666666666667,39.1333333333333,1,5.93333333333333,9.93333333333333,1,3,"N"
"1963","fowlebo01",4,1926,19.5,43.75,7.5,14.25,1.75,0.5,0.25,4.5,0.75,0.5,4.75,1.5,1,0,0,1,3,"N"
"1966","foxan01",11,2004,70.5454545454545,175,22.5454545454545,41.9090909090909,5.90909090909091,1.54545454545455,2.72727272727273,15.2727272727273,6.72727272727273,2.27272727272727,37,17.9090909090909,1.90909090909091,4.27272727272727,1.63636363636364,0.636363636363636,2.27272727272727,"N"
"1967","foxbi01",1,1901,43,159,9,28,2,1,0,7,9,1,22,4,1,1,7,1,3,"N"
"1968","foxer01",4,1995,29,64.5,9.5,12.75,2,0.5,1.25,4.75,1.25,1.5,12,5.25,0,0,2.5,0.25,0.25,"N"
"1969","foxja02",5,2011,38.6,97.8,11,23.2,5.6,0.4,4,14.6,0,0,21.2,5.4,0.2,2.2,0,1.4,3.4,"N"
"1970","foxne01",19,1965,124.578947368421,485.894736842105,67.3157894736842,140.157894736842,18.6842105263158,5.89473684210526,1.84210526315789,41.5789473684211,4,4.21052631578947,11.3684210526316,37.8421052631579,1.68421052631579,7.47368421052632,10.9473684210526,2.89473684210526,9.21052631578947,"Y"
"1971","foxpe01",13,1945,112.384615384615,433.538461538462,68.8461538461538,129.076923076923,24.1538461538462,5.76923076923077,5,53.3846153846154,12.1538461538462,6.23076923076923,36.2307692307692,30.1538461538462,1,2.53846153846154,8.23076923076923,1,5.07692307692308,"N"
"1972","foxxji01",21,1945,110.333333333333,387.333333333333,83.3809523809524,126,21.8095238095238,5.95238095238095,25.4285714285714,91.5238095238095,4.14285714285714,3.57142857142857,62.4285714285714,69.1428571428571,1,0.619047619047619,3.38095238095238,1,5.28571428571429,"Y"
"1973","foyjo01",6,1971,119.333333333333,414,59.1666666666667,102.5,17,2.66666666666667,9.66666666666667,48.5,16.5,8,67.5,65,2.83333333333333,3,3.5,4,9.5,"N"
"1975","francbe01",10,2013,56.3,157.9,19.9,40,10.4,0.3,5,19,3,1.7,32.5,14.6,0.2,2.3,0.9,1.4,3.6,"N"
"1976","francje02",16,2016,92.5625,328.75,39.125,85.8125,17.5625,1.6875,10,43.625,3.375,2.4375,67.5,17.75,3,3.75,0.125,3.375,7.875,"N"
"1977","francju01",25,2007,101.08,347.08,51.4,103.44,16.28,2.16,6.92,47.76,11.24,4.28,53.64,36.68,2.68,1.52,0.76,3.2,12.48,"N"
"1978","francju02",7,2014,57.7142857142857,142.285714285714,15.7142857142857,33.5714285714286,7.14285714285714,0.571428571428571,6.85714285714286,21.7142857142857,0.285714285714286,0.857142857142857,53.5714285714286,11.5714285714286,0.857142857142857,1.14285714285714,0,0.857142857142857,2.42857142857143,"N"
"1979","francma01",8,2003,82.625,122.125,13.75,32.625,5.375,0.75,2.75,14.625,0.25,0.25,19.75,15.5,2.25,0.25,0.375,0.875,4.25,"N"
"1981","francte01",10,1990,70.8,173.1,16.3,47.4,7.4,0.6,1.6,14.3,1.2,1.2,11.9,6.5,1.5,0.5,1.5,1,3,"N"
"1982","francti01",19,1970,90.4736842105263,269.526315789474,34.2105263157895,73.4210526315789,11.7894736842105,1.78947368421053,6.57894736842105,34.5263157894737,2.42105263157895,1.10526315789474,36.5263157894737,28.6315789473684,3.10526315789474,1.68421052631579,2,2.15789473684211,5.42105263157895,"N"
"1985","frandke01",9,2015,57.1111111111111,138.444444444444,14.8888888888889,35.7777777777778,6.33333333333333,0.555555555555556,1.66666666666667,12.2222222222222,0.777777777777778,0.555555555555556,14.2222222222222,7.11111111111111,0.555555555555556,4,1.22222222222222,0.666666666666667,5.55555555555556,"N"
"1986","frankhe01",6,1949,31.3333333333333,67.1666666666667,5.83333333333333,13.3333333333333,3,0.333333333333333,0.5,7.16666666666667,0.333333333333333,0.666666666666667,6.16666666666667,9.5,1,0.5,1.66666666666667,1,1.83333333333333,"N"
"1987","frankmo01",2,1942,30.5,82,12.5,21.5,4,0,1,8,0,0,3.5,4.5,1,1,1.5,1,2,"N"
"1988","frankni01",8,2018,37.625,104.125,10.375,22.25,4.875,0.625,3,12,2.125,0.25,30.75,9.625,0.25,0.875,0.375,0.375,1,"N"
"1989","frasech01",10,1909,30.5,84.7,8.3,15.7,2.5,0.8,0.1,6.3,1.1,1,20.1,5.2,1,0.4,3.2,1,3,"N"
"1992","frazijo01",6,1956,36.1666666666667,47,5.16666666666667,11.3333333333333,2.5,0.333333333333333,1.66666666666667,7.5,0,0.166666666666667,7.66666666666667,5.83333333333333,0.666666666666667,0.5,0.166666666666667,0.666666666666667,1.33333333333333,"N"
"1993","frazilo01",6,1998,51.5,91.3333333333333,13.6666666666667,23,2.66666666666667,0.5,0.166666666666667,7.66666666666667,9.66666666666667,1.5,15.8333333333333,9.83333333333333,0,1,1.83333333333333,0.333333333333333,1.5,"N"
"1995","fredejo01",6,1934,134.166666666667,517,83,159,33.3333333333333,5.83333333333333,14.1666666666667,62.8333333333333,3.83333333333333,1,29.3333333333333,35,1,4.33333333333333,4.33333333333333,1,4,"N"
"1996","freedro01",8,1979,43,89.625,6.125,22,3.375,0.25,2.75,13.625,0.125,0.5,20.75,11.875,0.625,0.5,0.625,0.875,2,"N"
"1997","freehbi01",15,1976,118.266666666667,404.866666666667,47.0666666666667,106.066666666667,16.0666666666667,2.33333333333333,13.3333333333333,50.5333333333333,1.6,1.4,50.2,41.7333333333333,4.46666666666667,7.6,2.53333333333333,3.2,9.2,"N"
"1999","freelry01",10,2009,59.4,198.3,30.6,53.2,10,1.7,2.2,12.2,14.3,4.8,35,22.2,0.1,4.3,2.1,0.2,3.1,"N"
"2000","freembu01",8,1907,117.125,436.875,57.625,125.625,22.125,12.875,6.75,71.125,8.625,1,44.625,30,1,5.5,8.375,1,3,"N"
